order_id,order_placement_date,customer_id,product_id,order_qty,agreed_delivery_date,actual_delivery_date,delivery_qty,In Full,On Time,On Time In Full
FMR34721502,01-03-2022,789721,25891302,63,04-03-2022,05-03-2022,60,0,0,0
FMR33621302,01-03-2022,789621,25891302,56,03-03-2022,04-03-2022,56,1,0,0
FMR32520302,01-03-2022,789520,25891302,54,02-03-2022,03-03-2022,49,0,0,0
FMR33520601,01-03-2022,789520,25891302,42,03-03-2022,05-03-2022,34,0,0,0
FMR34520302,01-03-2022,789520,25891302,23,04-03-2022,05-03-2022,22,0,0,0
FMR32420602,01-03-2022,789420,25891302,49,02-03-2022,04-03-2022,49,1,0,0
FMR32902402,01-03-2022,789902,25891302,70,02-03-2022,02-03-2022,70,1,1,1
FMR32521302,01-03-2022,789521,25891302,34,02-03-2022,03-03-2022,34,1,0,0
FMR32720302,01-03-2022,789720,25891302,49,02-03-2022,02-03-2022,49,1,1,1
FMR33401603,01-03-2022,789401,25891302,40,03-03-2022,03-03-2022,40,1,1,1
FMR33121302,01-03-2022,789121,25891302,26,03-03-2022,03-03-2022,26,1,1,1
FMR32903403,01-03-2022,789903,25891302,42,02-03-2022,02-03-2022,40,0,1,0
FMR32422302,01-03-2022,789422,25891302,67,02-03-2022,05-03-2022,54,0,0,0
FMR32301302,01-03-2022,789301,25891302,29,02-03-2022,05-03-2022,29,1,0,0
FMR33721603,01-03-2022,789721,25891301,59,03-03-2022,03-03-2022,59,1,1,1
FMR32420403,01-03-2022,789420,25891301,87,02-03-2022,02-03-2022,87,1,1,1
FMR33420301,01-03-2022,789420,25891301,23,03-03-2022,05-03-2022,18,0,0,0
FMR33320501,01-03-2022,789320,25891301,46,03-03-2022,03-03-2022,46,1,1,1
FMR33122301,01-03-2022,789122,25891301,29,03-03-2022,05-03-2022,26,0,0,0
FMR34101301,01-03-2022,789101,25891301,76,04-03-2022,04-03-2022,76,1,1,1
FMR33421301,01-03-2022,789421,25891301,75,03-03-2022,05-03-2022,67,0,0,0
FMR34421301,01-03-2022,789421,25891301,47,04-03-2022,04-03-2022,45,0,1,0
FMR34103403,01-03-2022,789103,25891301,71,04-03-2022,04-03-2022,67,0,1,0
FMR32121301,01-03-2022,789121,25891301,72,02-03-2022,03-03-2022,65,0,0,0
FMR34203601,01-03-2022,789203,25891301,100,04-03-2022,04-03-2022,100,1,1,1
FMR33402303,01-03-2022,789402,25891301,94,03-03-2022,03-03-2022,94,1,1,1
FMR34221301,01-03-2022,789221,25891301,44,04-03-2022,04-03-2022,44,1,1,1
FMR34202301,01-03-2022,789202,25891301,45,04-03-2022,04-03-2022,45,1,1,1
FMR32522301,01-03-2022,789522,25891301,46,02-03-2022,03-03-2022,46,1,0,0
FMR34522403,01-03-2022,789522,25891301,47,04-03-2022,05-03-2022,38,0,0,0
FMR34520301,01-03-2022,789520,25891301,38,04-03-2022,04-03-2022,34,0,1,0
FMR33301301,01-03-2022,789301,25891301,92,03-03-2022,03-03-2022,83,0,1,0
FMR34303602,01-03-2022,789303,25891301,44,04-03-2022,04-03-2022,40,0,1,0
FMR33220603,01-03-2022,789220,25891301,75,03-03-2022,03-03-2022,75,1,1,1
FMR32422301,01-03-2022,789422,25891301,63,02-03-2022,02-03-2022,63,1,1,1
FMR33422301,01-03-2022,789422,25891301,63,03-03-2022,05-03-2022,60,0,0,0
FMR34303602,01-03-2022,789303,25891102,352,04-03-2022,04-03-2022,317,0,1,0
FMR34401102,01-03-2022,789401,25891102,369,04-03-2022,03-03-2022,369,1,1,1
FMR34520302,01-03-2022,789520,25891102,373,04-03-2022,05-03-2022,336,0,0,0
FMR32121102,01-03-2022,789121,25891102,397,02-03-2022,01-03-2022,377,0,1,0
FMR33902203,01-03-2022,789902,25891102,494,03-03-2022,03-03-2022,395,0,1,0
FMR34902102,01-03-2022,789902,25891102,465,04-03-2022,05-03-2022,465,1,0,0
FMR32503401,01-03-2022,789503,25891102,459,02-03-2022,02-03-2022,367,0,1,0
FMR32720302,01-03-2022,789720,25891102,402,02-03-2022,02-03-2022,402,1,1,1
FMR33720202,01-03-2022,789720,25891102,483,03-03-2022,03-03-2022,483,1,1,1
FMR34321602,01-03-2022,789321,25891102,368,04-03-2022,04-03-2022,331,0,1,0
FMR32103503,01-03-2022,789103,25891102,307,02-03-2022,02-03-2022,246,0,1,0
FMR32421102,01-03-2022,789421,25891102,309,02-03-2022,04-03-2022,278,0,0,0
FMR34421301,01-03-2022,789421,25891102,412,04-03-2022,04-03-2022,391,0,1,0
FMR34320102,01-03-2022,789320,25891102,432,04-03-2022,05-03-2022,432,1,0,0
FMR32420102,01-03-2022,789420,25891102,310,02-03-2022,05-03-2022,310,1,0,0
FMR32702601,01-03-2022,789702,25891102,478,02-03-2022,02-03-2022,454,0,1,0
FMR34220601,01-03-2022,789220,25891102,473,04-03-2022,04-03-2022,473,1,1,1
FMR34201202,01-03-2022,789201,25891102,372,04-03-2022,04-03-2022,353,0,1,0
FMR32102102,01-03-2022,789102,25891102,496,02-03-2022,01-03-2022,496,1,1,1
FMR34122102,01-03-2022,789122,25891102,443,04-03-2022,06-03-2022,399,0,0,0
FMR33621102,01-03-2022,789621,25891102,480,03-03-2022,06-03-2022,480,1,0,0
FMR32622502,01-03-2022,789622,25891502,153,02-03-2022,02-03-2022,138,0,1,0
FMR33622502,01-03-2022,789622,25891502,132,03-03-2022,03-03-2022,132,1,1,1
FMR32420602,01-03-2022,789420,25891502,165,02-03-2022,04-03-2022,157,0,0,0
FMR32201502,01-03-2022,789201,25891502,160,02-03-2022,02-03-2022,160,1,1,1
FMR33220603,01-03-2022,789220,25891502,211,03-03-2022,03-03-2022,211,1,1,1
FMR33202502,01-03-2022,789202,25891502,141,03-03-2022,03-03-2022,134,0,1,0
FMR33520502,01-03-2022,789520,25891502,173,03-03-2022,06-03-2022,173,1,0,0
FMR34520503,01-03-2022,789520,25891502,143,04-03-2022,07-03-2022,129,0,0,0
FMR33503502,01-03-2022,789503,25891502,238,03-03-2022,03-03-2022,238,1,1,1
FMR34503502,01-03-2022,789503,25891502,231,04-03-2022,03-03-2022,231,1,1,1
FMR33401603,01-03-2022,789401,25891502,140,03-03-2022,03-03-2022,133,0,1,0
FMR34401503,01-03-2022,789401,25891502,200,04-03-2022,04-03-2022,200,1,1,1
FMR34721502,01-03-2022,789721,25891502,123,04-03-2022,05-03-2022,98,0,0,0
FMR34702502,01-03-2022,789702,25891502,239,04-03-2022,04-03-2022,215,0,1,0
FMR33521502,01-03-2022,789521,25891502,167,03-03-2022,05-03-2022,167,1,0,0
FMR33520502,01-03-2022,789520,25891403,359,03-03-2022,06-03-2022,341,0,0,0
FMR33320501,01-03-2022,789320,25891403,239,03-03-2022,03-03-2022,239,1,1,1
FMR34422403,01-03-2022,789422,25891403,265,04-03-2022,06-03-2022,252,0,0,0
FMR32903403,01-03-2022,789903,25891403,244,02-03-2022,02-03-2022,220,0,1,0
FMR32420403,01-03-2022,789420,25891403,397,02-03-2022,02-03-2022,318,0,1,0
FMR33101403,01-03-2022,789101,25891403,315,03-03-2022,03-03-2022,283,0,1,0
FMR32202603,01-03-2022,789202,25891403,440,02-03-2022,02-03-2022,440,1,1,1
FMR34303602,01-03-2022,789303,25891403,427,04-03-2022,04-03-2022,406,0,1,0
FMR32121403,01-03-2022,789121,25891403,441,02-03-2022,02-03-2022,441,1,1,1
FMR34522403,01-03-2022,789522,25891403,320,04-03-2022,05-03-2022,320,1,0,0
FMR34103403,01-03-2022,789103,25891403,467,04-03-2022,04-03-2022,420,0,1,0
FMR32220503,01-03-2022,789220,25891403,465,02-03-2022,02-03-2022,372,0,1,0
FMR32622503,01-03-2022,789622,25891503,208,02-03-2022,01-03-2022,198,0,1,0
FMR34622602,01-03-2022,789622,25891503,241,04-03-2022,04-03-2022,241,1,1,1
FMR33720503,01-03-2022,789720,25891503,146,03-03-2022,04-03-2022,146,1,0,0
FMR32220503,01-03-2022,789220,25891503,115,02-03-2022,02-03-2022,103,0,1,0
FMR33220603,01-03-2022,789220,25891503,239,03-03-2022,03-03-2022,239,1,1,1
FMR34321602,01-03-2022,789321,25891503,246,04-03-2022,04-03-2022,246,1,1,1
FMR32221603,01-03-2022,789221,25891503,158,02-03-2022,02-03-2022,158,1,1,1
FMR33221503,01-03-2022,789221,25891503,106,03-03-2022,03-03-2022,101,0,1,0
FMR32103503,01-03-2022,789103,25891503,126,02-03-2022,02-03-2022,120,0,1,0
FMR33401603,01-03-2022,789401,25891503,161,03-03-2022,03-03-2022,145,0,1,0
FMR34401503,01-03-2022,789401,25891503,192,04-03-2022,04-03-2022,192,1,1,1
FMR34721503,01-03-2022,789721,25891503,144,04-03-2022,04-03-2022,137,0,1,0
FMR33320503,01-03-2022,789320,25891503,140,03-03-2022,06-03-2022,140,1,0,0
FMR34520503,01-03-2022,789520,25891503,233,04-03-2022,07-03-2022,221,0,0,0
FMR32101601,01-03-2022,789101,25891503,183,02-03-2022,02-03-2022,183,1,1,1
FMR32422503,01-03-2022,789422,25891503,138,02-03-2022,03-03-2022,110,0,0,0
FMR34603302,01-03-2022,789603,25891103,378,04-03-2022,04-03-2022,378,1,1,1
FMR34702602,01-03-2022,789702,25891103,480,04-03-2022,03-03-2022,432,0,1,0
FMR32601103,01-03-2022,789601,25891103,310,02-03-2022,02-03-2022,294,0,1,0
FMR34601402,01-03-2022,789601,25891103,388,04-03-2022,04-03-2022,310,0,1,0
FMR33303501,01-03-2022,789303,25891103,335,03-03-2022,03-03-2022,335,1,1,1
FMR32621103,01-03-2022,789621,25891103,431,02-03-2022,02-03-2022,431,1,1,1
FMR34621103,01-03-2022,789621,25891103,357,04-03-2022,04-03-2022,339,0,1,0
FMR32501601,01-03-2022,789501,25891103,318,02-03-2022,02-03-2022,318,1,1,1
FMR33501401,01-03-2022,789501,25891103,400,03-03-2022,03-03-2022,400,1,1,1
FMR34501203,01-03-2022,789501,25891103,327,04-03-2022,04-03-2022,327,1,1,1
FMR34402202,01-03-2022,789402,25891103,340,04-03-2022,04-03-2022,272,0,1,0
FMR32221603,01-03-2022,789221,25891103,430,02-03-2022,02-03-2022,430,1,1,1
FMR33522103,01-03-2022,789522,25891103,384,03-03-2022,04-03-2022,384,1,0,0
FMR33503502,01-03-2022,789503,25891103,325,03-03-2022,03-03-2022,309,0,1,0
FMR33122301,01-03-2022,789122,25891103,403,03-03-2022,05-03-2022,403,1,0,0
FMR34122103,01-03-2022,789122,25891103,458,04-03-2022,03-03-2022,458,1,1,1
FMR32401103,01-03-2022,789401,25891103,476,02-03-2022,02-03-2022,476,1,1,1
FMR34301103,01-03-2022,789301,25891103,351,04-03-2022,06-03-2022,351,1,0,0
FMR34902103,01-03-2022,789902,25891103,456,04-03-2022,06-03-2022,410,0,0,0
FMR32202603,01-03-2022,789202,25891103,389,02-03-2022,02-03-2022,370,0,1,0
FMR34721103,01-03-2022,789721,25891103,468,04-03-2022,06-03-2022,468,1,0,0
FMR33420203,01-03-2022,789420,25891103,357,03-03-2022,06-03-2022,357,1,0,0
FMR34420402,01-03-2022,789420,25891103,325,04-03-2022,05-03-2022,325,1,0,0
FMR32321103,01-03-2022,789321,25891103,478,02-03-2022,03-03-2022,478,1,0,0
FMR33321602,01-03-2022,789321,25891103,465,03-03-2022,03-03-2022,419,0,1,0
FMR32422401,01-03-2022,789422,25891103,317,02-03-2022,04-03-2022,317,1,0,0
FMR34522601,01-03-2022,789522,25891601,181,04-03-2022,07-03-2022,163,0,0,0
FMR32202603,01-03-2022,789202,25891601,125,02-03-2022,02-03-2022,119,0,1,0
FMR32702601,01-03-2022,789702,25891601,93,02-03-2022,02-03-2022,74,0,1,0
FMR33520601,01-03-2022,789520,25891601,182,03-03-2022,05-03-2022,146,0,0,0
FMR32902601,01-03-2022,789902,25891601,93,02-03-2022,03-03-2022,88,0,0,0
FMR33103602,01-03-2022,789103,25891601,188,03-03-2022,03-03-2022,150,0,1,0
FMR33201602,01-03-2022,789201,25891601,180,03-03-2022,03-03-2022,171,0,1,0
FMR34622602,01-03-2022,789622,25891601,96,04-03-2022,04-03-2022,91,0,1,0
FMR32101601,01-03-2022,789101,25891601,124,02-03-2022,02-03-2022,124,1,1,1
FMR34220601,01-03-2022,789220,25891601,78,04-03-2022,04-03-2022,78,1,1,1
FMR34122601,01-03-2022,789122,25891601,68,04-03-2022,07-03-2022,61,0,0,0
FMR33321601,01-03-2022,789321,25891601,157,03-03-2022,05-03-2022,157,1,0,0
FMR33903601,01-03-2022,789903,25891601,93,03-03-2022,03-03-2022,84,0,1,0
FMR34621601,01-03-2022,789621,25891601,170,04-03-2022,07-03-2022,170,1,0,0
FMR32421601,01-03-2022,789421,25891601,108,02-03-2022,02-03-2022,103,0,1,0
FMR34421601,01-03-2022,789421,25891601,75,04-03-2022,05-03-2022,75,1,0,0
FMR33102601,01-03-2022,789102,25891601,180,03-03-2022,03-03-2022,180,1,1,1
FMR33401603,01-03-2022,789401,25891203,429,03-03-2022,03-03-2022,429,1,1,1
FMR32501601,01-03-2022,789501,25891601,139,02-03-2022,02-03-2022,139,1,1,1
FMR32603203,01-03-2022,789603,25891203,460,02-03-2022,03-03-2022,460,1,0,0
FMR34420402,01-03-2022,789420,25891402,353,04-03-2022,05-03-2022,353,1,0,0
FMR34401402,01-03-2022,789401,25891402,468,04-03-2022,06-03-2022,468,1,0,0
FMR34720402,01-03-2022,789720,25891402,472,04-03-2022,05-03-2022,448,0,0,0
FMR34721503,01-03-2022,789721,25891402,436,04-03-2022,04-03-2022,414,0,1,0
FMR34601402,01-03-2022,789601,25891402,208,04-03-2022,04-03-2022,208,1,1,1
FMR32520603,01-03-2022,789520,25891402,287,02-03-2022,02-03-2022,258,0,1,0
FMR33503502,01-03-2022,789503,25891402,450,03-03-2022,03-03-2022,450,1,1,1
FMR32203402,01-03-2022,789203,25891402,488,02-03-2022,02-03-2022,488,1,1,1
FMR32902402,01-03-2022,789902,25891402,405,02-03-2022,02-03-2022,405,1,1,1
FMR33321602,01-03-2022,789321,25891402,283,03-03-2022,03-03-2022,283,1,1,1
FMR33122402,01-03-2022,789122,25891402,460,03-03-2022,06-03-2022,437,0,0,0
FMR34122402,01-03-2022,789122,25891402,256,04-03-2022,04-03-2022,205,0,1,0
FMR34621601,01-03-2022,789621,25891402,220,04-03-2022,07-03-2022,220,1,0,0
FMR32221402,01-03-2022,789221,25891402,384,02-03-2022,03-03-2022,384,1,0,0
FMR33221402,01-03-2022,789221,25891402,342,03-03-2022,04-03-2022,342,1,0,0
FMR32622402,01-03-2022,789622,25891402,309,02-03-2022,03-03-2022,247,0,0,0
FMR34622602,01-03-2022,789622,25891402,462,04-03-2022,04-03-2022,439,0,1,0
FMR32202402,01-03-2022,789202,25891402,442,02-03-2022,03-03-2022,442,1,0,0
FMR34301602,01-03-2022,789301,25891201,308,04-03-2022,04-03-2022,308,1,1,1
FMR33521201,01-03-2022,789521,25891201,487,03-03-2022,04-03-2022,463,0,0,0
FMR33401603,01-03-2022,789401,25891201,461,03-03-2022,03-03-2022,461,1,1,1
FMR33320501,01-03-2022,789320,25891201,354,03-03-2022,03-03-2022,354,1,1,1
FMR32321201,01-03-2022,789321,25891201,374,02-03-2022,02-03-2022,374,1,1,1
FMR34102602,01-03-2022,789102,25891201,440,04-03-2022,04-03-2022,440,1,1,1
FMR32103503,01-03-2022,789103,25891201,112,02-03-2022,02-03-2022,101,0,1,0
FMR32501201,01-03-2022,789501,25891201,273,02-03-2022,01-03-2022,273,1,1,1
FMR34220601,01-03-2022,789220,25891201,378,04-03-2022,04-03-2022,378,1,1,1
FMR34702502,01-03-2022,789702,25891201,156,04-03-2022,04-03-2022,156,1,1,1
FMR34201201,01-03-2022,789201,25891201,291,04-03-2022,05-03-2022,233,0,0,0
FMR32622502,01-03-2022,789622,25891201,274,02-03-2022,02-03-2022,247,0,1,0
FMR34101201,01-03-2022,789101,25891201,489,04-03-2022,05-03-2022,489,1,0,0
FMR34520602,01-03-2022,789520,25891501,204,04-03-2022,06-03-2022,184,0,0,0
FMR33203603,01-03-2022,789203,25891501,104,03-03-2022,03-03-2022,104,1,1,1
FMR34420501,01-03-2022,789420,25891501,210,04-03-2022,06-03-2022,210,1,0,0
FMR33403501,01-03-2022,789403,25891501,241,03-03-2022,03-03-2022,229,0,1,0
FMR34121501,01-03-2022,789121,25891501,159,04-03-2022,03-03-2022,127,0,1,0
FMR34903603,01-03-2022,789903,25891501,136,04-03-2022,04-03-2022,136,1,1,1
FMR33320501,01-03-2022,789320,25891501,249,03-03-2022,03-03-2022,249,1,1,1
FMR32221603,01-03-2022,789221,25891501,140,02-03-2022,02-03-2022,140,1,1,1
FMR32101601,01-03-2022,789101,25891501,241,02-03-2022,02-03-2022,241,1,1,1
FMR33303501,01-03-2022,789303,25891501,105,03-03-2022,03-03-2022,105,1,1,1
FMR32102602,01-03-2022,789102,25891501,114,02-03-2022,02-03-2022,91,0,1,0
FMR32402602,01-03-2022,789402,25891501,223,02-03-2022,02-03-2022,223,1,1,1
FMR33720501,01-03-2022,789720,25891501,182,03-03-2022,02-03-2022,182,1,1,1
FMR32301603,01-03-2022,789301,25891501,238,02-03-2022,02-03-2022,238,1,1,1
FMR34301602,01-03-2022,789301,25891602,92,04-03-2022,04-03-2022,83,0,1,0
FMR34303602,01-03-2022,789303,25891602,98,04-03-2022,04-03-2022,98,1,1,1
FMR34702602,01-03-2022,789702,25891602,155,04-03-2022,03-03-2022,155,1,1,1
FMR32102602,01-03-2022,789102,25891602,63,02-03-2022,02-03-2022,63,1,1,1
FMR34102602,01-03-2022,789102,25891602,154,04-03-2022,04-03-2022,154,1,1,1
FMR34703602,01-03-2022,789703,25891602,163,04-03-2022,04-03-2022,163,1,1,1
FMR32420602,01-03-2022,789420,25891602,76,02-03-2022,04-03-2022,76,1,0,0
FMR33321602,01-03-2022,789321,25891602,78,03-03-2022,03-03-2022,74,0,1,0
FMR34321602,01-03-2022,789321,25891602,60,04-03-2022,04-03-2022,60,1,1,1
FMR32402602,01-03-2022,789402,25891602,172,02-03-2022,02-03-2022,163,0,1,0
FMR33203603,01-03-2022,789203,25891602,184,03-03-2022,03-03-2022,184,1,1,1
FMR32103602,01-03-2022,789103,25891602,86,02-03-2022,01-03-2022,77,0,1,0
FMR33103602,01-03-2022,789103,25891602,172,03-03-2022,03-03-2022,163,0,1,0
FMR33201602,01-03-2022,789201,25891602,52,03-03-2022,03-03-2022,52,1,1,1
FMR34320602,01-03-2022,789320,25891602,190,04-03-2022,04-03-2022,190,1,1,1
FMR34520602,01-03-2022,789520,25891602,164,04-03-2022,06-03-2022,131,0,0,0
FMR34622602,01-03-2022,789622,25891602,54,04-03-2022,04-03-2022,54,1,1,1
FMR32220602,01-03-2022,789220,25891602,77,02-03-2022,01-03-2022,77,1,1,1
FMR33220603,01-03-2022,789220,25891602,65,03-03-2022,03-03-2022,65,1,1,1
FMR33721603,01-03-2022,789721,25891602,148,03-03-2022,03-03-2022,148,1,1,1
FMR33501401,01-03-2022,789501,25891101,484,03-03-2022,03-03-2022,484,1,1,1
FMR32101601,01-03-2022,789101,25891101,474,02-03-2022,02-03-2022,474,1,1,1
FMR33101403,01-03-2022,789101,25891101,349,03-03-2022,03-03-2022,349,1,1,1
FMR32703401,01-03-2022,789703,25891101,492,02-03-2022,02-03-2022,492,1,1,1
FMR33321602,01-03-2022,789321,25891101,345,03-03-2022,03-03-2022,345,1,1,1
FMR32203101,01-03-2022,789203,25891101,409,02-03-2022,04-03-2022,389,0,0,0
FMR33203603,01-03-2022,789203,25891101,368,03-03-2022,03-03-2022,294,0,1,0
FMR32903403,01-03-2022,789903,25891101,343,02-03-2022,02-03-2022,326,0,1,0
FMR34122303,01-03-2022,789122,25891101,410,04-03-2022,05-03-2022,390,0,0,0
FMR33202502,01-03-2022,789202,25891101,391,03-03-2022,03-03-2022,391,1,1,1
FMR34202301,01-03-2022,789202,25891101,431,04-03-2022,04-03-2022,431,1,1,1
FMR33403501,01-03-2022,789403,25891101,379,03-03-2022,03-03-2022,379,1,1,1
FMR34401102,01-03-2022,789401,25891101,454,04-03-2022,03-03-2022,454,1,1,1
FMR33503502,01-03-2022,789503,25891101,362,03-03-2022,03-03-2022,362,1,1,1
FMR33420101,01-03-2022,789420,25891101,306,03-03-2022,04-03-2022,306,1,0,0
FMR34420501,01-03-2022,789420,25891101,494,04-03-2022,06-03-2022,494,1,0,0
FMR34622101,01-03-2022,789622,25891101,423,04-03-2022,03-03-2022,402,0,1,0
FMR34520301,01-03-2022,789520,25891101,428,04-03-2022,04-03-2022,385,0,1,0
FMR34422101,01-03-2022,789422,25891101,444,04-03-2022,05-03-2022,444,1,0,0
FMR34603401,01-03-2022,789603,25891401,313,04-03-2022,05-03-2022,313,1,0,0
FMR33501401,01-03-2022,789501,25891401,288,03-03-2022,03-03-2022,259,0,1,0
FMR32503401,01-03-2022,789503,25891401,449,02-03-2022,02-03-2022,449,1,1,1
FMR33202502,01-03-2022,789202,25891401,215,03-03-2022,03-03-2022,215,1,1,1
FMR34702502,01-03-2022,789702,25891401,355,04-03-2022,04-03-2022,337,0,1,0
FMR32703401,01-03-2022,789703,25891401,234,02-03-2022,02-03-2022,234,1,1,1
FMR32422401,01-03-2022,789422,25891401,342,02-03-2022,04-03-2022,342,1,0,0
FMR32122401,01-03-2022,789122,25891401,240,02-03-2022,04-03-2022,228,0,0,0
FMR33201602,01-03-2022,789201,25891401,480,03-03-2022,03-03-2022,456,0,1,0
FMR33103401,01-03-2022,789103,25891401,306,03-03-2022,02-03-2022,291,0,1,0
FMR34103403,01-03-2022,789103,25891401,399,04-03-2022,04-03-2022,359,0,1,0
FMR32403401,01-03-2022,789403,25891401,473,02-03-2022,02-03-2022,473,1,1,1
FMR32520603,01-03-2022,789520,25891603,67,02-03-2022,02-03-2022,64,0,1,0
FMR33220603,01-03-2022,789220,25891603,51,03-03-2022,03-03-2022,46,0,1,0
FMR33603603,01-03-2022,789603,25891603,183,03-03-2022,05-03-2022,183,1,0,0
FMR32221603,01-03-2022,789221,25891603,100,02-03-2022,02-03-2022,80,0,1,0
FMR33401603,01-03-2022,789401,25891603,127,03-03-2022,03-03-2022,127,1,1,1
FMR33420603,01-03-2022,789420,25891603,129,03-03-2022,03-03-2022,129,1,1,1
FMR32121603,01-03-2022,789121,25891603,200,02-03-2022,04-03-2022,180,0,0,0
FMR32421603,01-03-2022,789421,25891603,172,02-03-2022,05-03-2022,155,0,0,0
FMR32903603,01-03-2022,789903,25891603,128,02-03-2022,03-03-2022,115,0,0,0
FMR34903603,01-03-2022,789903,25891603,148,04-03-2022,04-03-2022,133,0,1,0
FMR33703603,01-03-2022,789703,25891603,165,03-03-2022,03-03-2022,165,1,1,1
FMR32303603,01-03-2022,789303,25891603,169,02-03-2022,02-03-2022,169,1,1,1
FMR32301603,01-03-2022,789301,25891603,134,02-03-2022,02-03-2022,121,0,1,0
FMR33203603,01-03-2022,789203,25891603,122,03-03-2022,03-03-2022,122,1,1,1
FMR32202603,01-03-2022,789202,25891603,186,02-03-2022,02-03-2022,186,1,1,1
FMR32721603,01-03-2022,789721,25891603,140,02-03-2022,02-03-2022,126,0,1,0
FMR33721603,01-03-2022,789721,25891603,195,03-03-2022,03-03-2022,195,1,1,1
FMR33621603,01-03-2022,789621,25891603,69,03-03-2022,03-03-2022,69,1,1,1
FMR32102202,01-03-2022,789102,25891202,106,02-03-2022,03-03-2022,106,1,0,0
FMR33102601,01-03-2022,789102,25891202,419,03-03-2022,03-03-2022,419,1,1,1
FMR33402303,01-03-2022,789402,25891202,167,03-03-2022,03-03-2022,167,1,1,1
FMR34402202,01-03-2022,789402,25891202,457,04-03-2022,04-03-2022,457,1,1,1
FMR33622502,01-03-2022,789622,25891202,294,03-03-2022,03-03-2022,294,1,1,1
FMR34902202,01-03-2022,789902,25891202,311,04-03-2022,04-03-2022,311,1,1,1
FMR32320202,01-03-2022,789320,25891202,211,02-03-2022,03-03-2022,211,1,0,0
FMR33320202,01-03-2022,789320,25891202,209,03-03-2022,05-03-2022,188,0,0,0
FMR32403401,01-03-2022,789403,25891202,472,02-03-2022,02-03-2022,472,1,1,1
FMR34703602,01-03-2022,789703,25891202,185,04-03-2022,04-03-2022,167,0,1,0
FMR34303602,01-03-2022,789303,25891202,160,04-03-2022,04-03-2022,144,0,1,0
FMR32721603,01-03-2022,789721,25891202,178,02-03-2022,02-03-2022,169,0,1,0
FMR33421203,01-03-2022,789421,25891202,332,03-03-2022,06-03-2022,332,1,0,0
FMR34421601,01-03-2022,789421,25891202,132,04-03-2022,05-03-2022,125,0,0,0
FMR33101202,01-03-2022,789101,25891202,150,03-03-2022,04-03-2022,150,1,0,0
FMR34401503,01-03-2022,789401,25891202,173,04-03-2022,04-03-2022,173,1,1,1
FMR33503502,01-03-2022,789503,25891202,214,03-03-2022,03-03-2022,214,1,1,1
FMR33601202,01-03-2022,789601,25891202,411,03-03-2022,04-03-2022,390,0,0,0
FMR34201202,01-03-2022,789201,25891202,175,04-03-2022,04-03-2022,175,1,1,1
FMR32521202,01-03-2022,789521,25891202,479,02-03-2022,05-03-2022,479,1,0,0
FMR33521202,01-03-2022,789521,25891202,347,03-03-2022,03-03-2022,347,1,1,1
FMR34520602,01-03-2022,789520,25891202,200,04-03-2022,06-03-2022,200,1,0,0
FMR33720202,01-03-2022,789720,25891202,270,03-03-2022,03-03-2022,270,1,1,1
FMR32202603,01-03-2022,789202,25891202,342,02-03-2022,02-03-2022,274,0,1,0
FMR33202502,01-03-2022,789202,25891202,130,03-03-2022,03-03-2022,130,1,1,1
